a'	/ˈa/
cercano	/ˈtʃerkano/
cercare	/tʃerkˈare/
cercarono	/tʃerkˈarono/
cercata	/tʃerkˈata/
cercate	/tʃerkˈate/
cercati	/tʃerkˈati/
cercato	/tʃerkˈato/
cerca	/ˈtʃerka/
cercavano	/tʃerkˈavano/
cercava	/tʃerkˈava/
cerchiamo	/tʃerkjˈamo/
cerchio	/ˈtʃerkjo/
cerchi	/ˈtʃerki/
cerco	/ˈtʃerko/
cercò	/tʃerkˈɔ/
certaldo	/tʃertˈaldo/
certamente	/tʃertamˈente/
certa	/ˈtʃɛrta/
certe	/ˈtʃɛrte/
certezza	/tʃertˈetstsa/
certissima	/tʃertˈissima/
certissimo	/tʃertˈissimo/
certi	/ˈtʃɛrti/
certo	/ˈtʃɛrto/
cerva	/ˈtʃɛrva/
cervello	/tʃervˈɛllo/
cervi	/ˈtʃɛrvi/
cervo	/ˈtʃɛrvo/
cesare	/ˈtʃɛzare/
cesari	/ˈtʃɛzari/
cessando	/tʃessˈando/
cessano	/ˈtʃɛssano/
cessare	/tʃessˈare/
cessate	/tʃessˈate/
cessato	/tʃessˈato/
cessino	/ˈtʃɛssino/
cessi	/ˈtʃɛssi/
cessò	/tʃessˈɔ/
cesta	/ˈtʃesta/
cetera	/ˈtʃɛtera/
che	/ˈke/
ché	/ˈke/
chente	/ˈkɛnte/
chenti	/ˈkɛnti/
cheta	/ˈketa/
chetamente	/ketamˈente/
cheto	/ˈketo/
chiamai	/kjamˈai/
chiama	/kjˈama/
chiamando	/kjamˈando/
chiamano	/kjˈamano/
chiamare	/kjamˈare/
chiamarono	/kjamˈarono/
chiamasse	/kjamˈasse/
chiamata	/kjamˈata/
chiamate	/kjamˈate/
chiamati	/kjamˈati/
chiamato	/kjamˈato/
chiamava	/kjamˈava/
chiamavano	/kjamˈavano/
chiamiamo	/kjamjˈamo/
chiami	/kjˈami/
chiamo	/kjˈamo/
chiamò	/kjamˈɔ/
chiara	/kjˈara/
chiaramente	/kjaramˈente/
chiare	/kjˈare/
chiarezza	/kjarˈetstsa/
chiari	/kjˈari/
chiarissima	/kjarˈissima/
chiarissimi	/kjarˈissimi/
chiarissimo	/kjarˈissimo/
chiaro	/kjˈaro/
chiave	/kjˈave/
chiavi	/kjˈavi/
chiede	/kjˈɛde/
chiedere	/kjˈɛdere/
chiedeva	/kjedˈeva/
chiesa	/kjˈɛza/
chiese	/kjˈɛze/
chiesto	/kjˈɛsto/
chi	/ki/
chimera	/kimˈɛra/
chino	/ˈkino/
chinò	/kinˈɔ/
chiodo	/kjˈɔdo/
chioma	/kjˈɔma/
chiude	/kjˈude/
chiudere	/kjˈudere/
chiusa	/kjˈusa/
chiuse	/kjˈuse/
chiusi	/kjˈusi/
chiuso	/kjˈuso/
christiana	/kristjˈana/
ciacco	/ˈtʃakko/
ciance	/ˈtʃantʃe/
cianciatori	/tʃantʃatˈori/
ciascheduno	/tʃaskedˈuno/
ciascuna	/tʃaskˈuna/
ciascuno	/tʃaskˈuno/
ciascun	/tʃaskˈun/
cibi	/ˈtʃibi/
cibo	/ˈtʃibo/
cicerone	/tʃitʃerˈone/
ciciliana	/tʃitʃiljˈana/
ciciliani	/tʃitʃiljˈani/
ciclope	/tʃiklˈɔpe/
ciclopi	/tʃiklˈɔpi/
cicogna	/tʃikˈoɲɲa/
cieca	/ˈtʃɛka/
ciechi	/ˈtʃɛki/
cieco	/ˈtʃɛko/
cieli	/ˈtʃɛli/
cielo	/ˈtʃɛlo/
cigno	/ˈtʃiɲɲo/
cima	/ˈtʃima/
cime	/ˈtʃime/
cinghiale	/tʃiŋɡjˈale/
cino	/ˈtʃino/
cinquanta	/tʃiŋkwˈanta/
cinquecento	/tʃiŋkwetʃˈɛnto/
cinque	/ˈtʃiŋkwe/
cinta	/ˈtʃinta/
cintola	/ˈtʃintola/
cintura	/tʃintˈura/
cioè	/tʃoˈɛ/
ciò	/ˈtʃɔ/
cipolla	/tʃipˈolla/
circa	/ˈtʃirka/
circolo	/ˈtʃirkolo/
circondato	/tʃirkondˈato/
circonda	/tʃirkˈonda/
circonvicini	/tʃirkonfvitʃˈini/
circostanze	/tʃirkostˈantse/
circuito	/tʃirkuˈito/
cisti	/ˈtʃisti/
ci	/ˈtʃi/
cittade	/tʃittˈade/
cittadini	/tʃittadˈini/
cittadino	/tʃittadˈino/
cittadi	/tʃittˈadi/
città	/tʃittˈa/
civile	/tʃivˈile/
civili	/tʃivˈili/
civiltà	/tʃiviltˈa/
claudio	/klˈaudjo/
clelia	/klˈɛlja/
clori	/klˈɔri/
cocenti	/kotʃˈɛnti/
coda	/ˈkoda/
codesto	/kodˈesto/
codice	/ˈkɔditʃe/
cogliendo	/koʎʎˈɛndo/
cogliere	/ˈkɔʎʎere/
cogli	/ˈkɔʎʎi/
cognati	/koɲɲˈati/
cognome	/koɲɲˈome/
coi	/ˈkoi/
colà	/kolˈa/
colei	/kolˈɛi/
col	/ˈkol/
collaborare	/kollaborˈare/
colla	/ˈkolla/
colle	/ˈkolle/
colli	/ˈkɔlli/
collo	/ˈkɔllo/
colmo	/ˈkolmo/
colonna	/kolˈɔnna/
colore	/kolˈore/
colori	/kolˈori/
coloro	/kolˈoro/
colpa	/ˈkolpa/
colpe	/ˈkolpe/
colpevole	/kolpˈevole/
colpevoli	/kolpˈevoli/
colpi	/ˈkolpi/
colpita	/kolpˈita/
colpo	/ˈkolpo/
coltello	/koltˈɛllo/
colto	/ˈkɔlto/
colui	/kolˈui/
comanda	/komˈanda/
comandamenti	/komandamˈenti/
comandamento	/komandamˈento/
comandando	/komandˈando/
comandasse	/komandˈasse/
comandato	/komandˈato/
comandò	/komandˈɔ/
comare	/komˈare/
combattendo	/kombattˈɛndo/
combattenti	/kombattˈɛnti/
combattere	/kombˈattere/
combattuto	/kombattˈuto/
come	/ˈkome/
comici	/ˈkɔmitʃi/
cominciai	/komintʃˈai/
comincia	/komˈintʃa/
cominciando	/komintʃˈando/
cominciare	/komintʃˈare/
cominciarono	/komintʃˈarono/
cominciata	/komintʃˈata/
cominciate	/komintʃˈate/
cominciato	/komintʃˈato/
cominciava	/komintʃˈava/
cominciò	/komintʃˈɔ/
com	/ˈkom/
commendare	/kommendˈare/
commendata	/kommendˈata/
commendato	/kommendˈato/
commendò	/kommendˈɔ/
commenti	/kommˈenti/
commessa	/kommˈessa/
commesse	/kommˈesse/
commesso	/kommˈesso/
commette	/kommˈette/
commettere	/kommˈettere/
commiato	/kommjˈato/
commise	/kommˈize/
commisi	/kommˈizi/
commossa	/kommˈɔssa/
commosse	/kommˈɔsse/
commossi	/kommˈɔssi/
commosso	/kommˈɔsso/
commovente	/kommovˈɛnte/
commune	/kommˈune/
communi	/kommˈuni/
commuovere	/kommwˈɔvere/
compagna	/kompˈaɲɲa/
compagne	/kompˈaɲɲe/
compagnia	/kompaɲɲˈia/
compagni	/kompˈaɲɲi/
compagno	/kompˈaɲɲo/
comparazione	/komparatstsjˈone/
compare	/kompˈare/
comparire	/komparˈire/
comparse	/kompˈarse/
compassione	/kompassjˈone/
comperata	/komperˈata/
comperazione	/komperatstsjˈone/
compiacere	/kompjatʃˈere/
compie	/ˈkompje/
compiere	/ˈkompjere/
compimento	/kompimˈento/
compiuta	/kompjˈuta/
compiutamente	/kompjutamˈente/
compiute	/kompjˈute/
compiuto	/kompjˈuto/
complessione	/komplessjˈone/
complesso	/komplˈɛsso/
completamente	/kompletamˈente/
componendo	/komponˈɛndo/
componimenti	/komponimˈenti/
comporre	/kompˈorre/
comportare	/komportˈare/
compose	/kompˈose/
composizione	/kompozitstsjˈone/
composizioni	/kompozitstsjˈoni/
composta	/kompˈosta/
composte	/kompˈoste/
composti	/kompˈosti/
composto	/kompˈosto/
comprenda	/komprˈɛnda/
comprende	/komprˈɛnde/
comprendendo	/komprendˈɛndo/
comprendere	/komprˈɛndere/
comprendeva	/komprendˈeva/
comprendo	/komprˈɛndo/
compresa	/komprˈesa/
comprese	/komprˈese/
compresi	/komprˈesi/
compreso	/komprˈeso/
comune	/komˈune/
comunemente	/komunemˈente/
comuni	/komˈuni/
comunque	/komˈuŋkwe/
conceda	/kontʃˈɛda/
concedano	/kontʃˈɛdano/
concede	/kontʃˈɛde/
concedendo	/kontʃedˈɛndo/
concederà	/kontʃederˈa/
concedere	/kontʃˈɛdere/
concedesse	/kontʃedˈesse/
concedette	/kontʃedˈɛtte/
concedi	/kontʃˈɛdi/
concedono	/kontʃˈɛdono/
conceduta	/kontʃedˈuta/
concedute	/kontʃedˈute/
conceduto	/kontʃedˈuto/
concento	/kontʃˈɛnto/
concesse	/kontʃˈɛsse/
concesso	/kontʃˈɛsso/
concetto	/kontʃˈɛtto/
conchiudendo	/koŋkjudˈɛndo/
conchiudere	/koŋkjˈudere/
conchiuse	/koŋkjˈuse/
conchiuso	/koŋkjˈuso/
conclusione	/koŋkluzjˈone/
conclusioni	/koŋkluzjˈoni/
concordia	/koŋkˈɔrdja/
concorso	/koŋkˈorso/
concupiscenza	/koŋkupiʃʃˈɛntsa/
concupiscevole	/koŋkupiʃʃˈevole/
condannare	/kondannˈare/
condannata	/kondannˈata/
condannati	/kondannˈati/
condannato	/kondannˈato/
condividi	/kondivˈidi/
condizionalmente	/konditstsjonalmˈente/
condizione	/konditstsjˈone/
condizioni	/konditstsjˈoni/
condotta	/kondˈotta/
condotti	/kondˈotti/
condotto	/kondˈotto/
conduca	/kondˈuka/
conducesse	/kondutʃˈesse/
condurre	/kondˈurre/
condusse	/kondˈusse/
conferma	/konffˈerma/
confermato	/konffermˈato/
confessa	/konffˈɛssa/
confessando	/konffessˈando/
confessare	/konffessˈare/
confessato	/konffessˈato/
confessione	/konffessjˈone/
confesso	/konffˈɛsso/
confessò	/konffessˈɔ/
confetti	/konffˈɛtti/
confinato	/konffinˈato/
confini	/konffˈini/
conforme	/konffˈorme/
conformi	/konffˈormi/
conformità	/konfformitˈa/
conforta	/konffˈɔrta/
confortare	/konffortˈare/
confortati	/konffortˈati/
confortava	/konffortˈava/
conforti	/konffˈɔrti/
conforto	/konffˈɔrto/
confortò	/konffortˈɔ/
confusa	/konffˈuza/
confusione	/konffuzjˈone/
congedo	/kondʒˈɛdo/
congiunge	/kondʒˈundʒe/
congiungere	/kondʒˈundʒere/
congiungimenti	/kondʒundʒimˈenti/
congiungimento	/kondʒundʒimˈento/
congiunse	/kondʒˈunse/
congiunta	/kondʒˈunta/
congiunte	/kondʒˈunte/
congiunti	/kondʒˈunti/
congiunto	/kondʒˈunto/
con	/ˈkon/
conobbe	/konˈobbe/
conobbero	/konˈobbero/
conobbi	/konˈobbi/
conosca	/konˈoska/
conosce	/konˈoʃʃe/
conoscendo	/konoʃʃˈɛndo/
conoscente	/konoʃʃˈɛnte/
conoscenti	/konoʃʃˈɛnti/
conoscenza	/konoʃʃˈɛntsa/
conoscerai	/konoʃʃerˈai/
conoscerà	/konoʃʃerˈa/
conoscere	/konˈoʃʃere/
conoscesse	/konoʃʃˈesse/
conoscessi	/konoʃʃˈessi/
conoscete	/konoʃʃˈete/
conosceva	/konoʃʃˈeva/
conosciamo	/konoʃʃˈamo/
conosciate	/konoʃʃˈate/
conosci	/konˈoʃʃi/
conosciuta	/konoʃʃˈuta/
conosciute	/konoʃʃˈute/
conosciuti	/konoʃʃˈuti/
conosciuto	/konoʃʃˈuto/
conosco	/konˈosko/
conoscono	/konˈoskono/
consacrato	/konsakrˈato/
consapevole	/konsapˈevole/
consapevoli	/konsapˈevoli/
conseguente	/konseɡwˈɛnte/
conseguenza	/konseɡwˈɛntsa/
conseguenze	/konseɡwˈɛntse/
conseguire	/konseɡwˈire/
consente	/konsˈɛnte/
consentì	/konsentˈi/
consentimento	/konsentimˈento/
consentire	/konsentˈire/
consentito	/konsentˈito/
consequente	/konsekwˈɛnte/
conserva	/konservˈa/
considera	/konsˈidera/
considerando	/konsiderˈando/
considerare	/konsiderˈare/
considerata	/konsiderˈata/
considerate	/konsiderˈate/
considerato	/konsiderˈato/
considerava	/konsiderˈava/
considerazione	/konsideratstsjˈone/
consideriamo	/konsiderjˈamo/
consigliare	/konsiʎʎˈare/
consigliato	/konsiʎʎˈato/
consigli	/konsˈiʎʎi/
consiglio	/konsˈiʎʎo/
consiste	/konsˈiste/
consolare	/konsolˈare/
consolata	/konsolˈata/
consolato	/konsolˈato/
consolazione	/konsolatstsjˈone/
consonante	/konsonˈante/
consonanti	/konsonˈanti/
conspetto	/konspˈɛtto/
consueto	/konsuˈɛto/
consuetudine	/konsuetˈudine/
consumato	/konsumˈato/
consumi	/konsˈumi/
contadini	/kontadˈini/
contado	/kontˈado/
contaminare	/kontaminˈare/
contegno	/kontˈɛɲɲo/
conte	/ˈkonte/
contemporanei	/kontemporˈanei/
contenga	/kontˈɛŋɡa/
contengono	/kontˈɛŋɡono/
contenta	/kontˈɛnta/
contentare	/kontentˈare/
contentezza	/kontentˈetstsa/
contenti	/kontˈɛnti/
contento	/kontˈɛnto/
contenuto	/kontenˈuto/
contesa	/kontˈesa/
contessa	/kontˈessa/
contessina	/kontessˈina/
contezza	/kontˈetstsa/
contiene	/kontjˈɛne/
conti	/ˈkonti/
continua	/kontˈinua/
continuamente	/kontinuamˈente/
continuando	/kontinuˈando/
continuare	/kontinuˈare/
continue	/kontˈinue/
continui	/kontˈinui/
continuo	/kontˈinuo/
continuò	/kontinuˈɔ/
conto	/ˈkonto/
contò	/kontˈɔ/
contrada	/kontrˈada/
contraddizione	/kontradditstsjˈone/
contrade	/kontrˈade/
contraria	/kontrˈarja/
contrarie	/kontrˈarje/
contrarietà	/kontrarjetˈa/
contrarii	/kontrˈarji/
contrari	/kontrˈari/
contrario	/kontrˈarjo/
contrastare	/kontrastˈare/
contrasto	/kontrˈasto/
contratto	/kontrˈatto/
contro	/ˈkontro/
convenevole	/konfvenˈevole/
convenevolezza	/konfvenevolˈetstsa/
convenevoli	/konfvenˈevoli/
convenevolmente	/konfvenevolmˈente/
convenga	/konfvˈɛŋɡa/
convengono	/konfvˈɛŋɡono/
convenia	/konfvenˈia/
convenisse	/konfvenˈisse/
conveniva	/konfvenˈiva/
convenne	/konfvˈenne/
convenuto	/konfvenˈuto/
converrà	/konfverrˈa/
converrebbe	/konfverrˈɛbbe/
converria	/konfverrˈia/
conversa	/konfvˈɛrsa/
converse	/konfvˈɛrse/
conversione	/konfversjˈone/
converso	/konfvˈɛrso/
convertì	/konfvertˈi/
convertita	/konfvertˈita/
convertito	/konfvertˈito/
conviene	/konfviˈɛne/
convinzione	/konfvintsjˈone/
conviti	/konfvˈiti/
convito	/konfvˈito/
coperta	/kopˈɛrta/
coperte	/kopˈɛrte/
coperti	/kopˈɛrti/
coperto	/kopˈɛrto/
copia	/ˈkɔpja/
copiosa	/kopjˈosa/
copioso	/kopjˈoso/
coppa	/ˈkoppa/
coprire	/koprˈire/
coraggio	/korˈadʒdʒo/
corde	/ˈkɔrde/
cordoglio	/kordˈɔʎʎo/
coricò	/korikˈɔ/
corna	/ˈkorna/
corni	/ˈkɔrni/
corno	/ˈkɔrno/
cornuta	/kornˈuta/
corollario	/korollˈarjo/
corona	/korˈona/
coronata	/koronˈata/
coronato	/koronˈato/
corone	/korˈone/
coronide	/korˈɔnide/
corpi	/ˈkɔrpi/
corpo	/ˈkɔrpo/
corporale	/korporˈale/
corporali	/korporˈali/
correa	/ˈkɔrrea/
correggere	/korrˈɛdʒdʒere/
corre	/ˈkɔrre/
correndo	/korrˈɛndo/
corrente	/korrˈɛnte/
correnti	/korrˈɛnti/
correre	/ˈkorrere/
correva	/korrˈeva/
corrono	/ˈkorrono/
corrotta	/korrˈotta/
corrotto	/korrˈotto/
corsa	/ˈkɔrsa/
corsari	/korsˈari/
corse	/ˈkɔrse/
corsero	/ˈkorsero/
corsi	/ˈkɔrsi/
corso	/ˈkɔrso/
corta	/ˈkorta/
corteccia	/kortˈetʃtʃa/
corte	/ˈkorte/
cortese	/kortˈeze/
cortesemente	/kortezemˈente/
cortesia	/kortezˈia/
cortesi	/kortˈezi/
cortigiana	/kortidʒˈana/
corti	/ˈkorti/
cortile	/kortˈile/
corto	/ˈkorto/
corvo	/ˈkɔrvo/
cosa	/ˈkɔsa/
coscia	/ˈkɔʃʃa/
coscienza	/koʃʃˈɛntsa/
cose	/ˈkɔse/
cosi	/ˈkɔzi/
così	/kosˈi/
cosmografia	/kozmoɡrafˈia/
cospetto	/kospˈɛtto/
costa	/ˈkɔsta/
costà	/kostˈa/
costante	/kostˈante/
costantemente	/kostantemˈente/
costanza	/kostˈantsa/
costei	/kostˈɛi/
costì	/kostˈi/
costituisce	/kostituˈiʃʃe/
costoro	/kostˈoro/
costretta	/kostrˈetta/
costretti	/kostrˈetti/
costretto	/kostrˈetto/
costrinse	/kostrˈinse/
costruire	/kostruˈire/
costruzione	/kostrutstsjˈone/
costui	/kostˈui/
costumata	/kostumˈata/
costumato	/kostumˈato/
costume	/kostˈume/
costumi	/kostˈumi/
cotale	/kotˈale/
cotali	/kotˈali/
cotante	/kotˈante/
cotanti	/kotˈanti/
cotanto	/kotˈanto/
cotesta	/kotˈesta/
coteste	/kotˈeste/
cotesti	/kotˈesti/
cotesto	/kotˈesto/
crea	/krˈɛa/
creare	/kreˈare/
creata	/kreˈata/
create	/kreˈate/
creati	/kreˈati/
creato	/kreˈato/
creatore	/kreatˈore/
creatura	/kreatˈura/
creature	/kreatˈure/
crebbe	/krˈebbe/
creda	/krˈeda/
credano	/krˈedano/
crede	/krˈede/
credendo	/kredˈɛndo/
crederei	/krederˈɛi/
credere	/krˈedere/
crederò	/krederˈɔ/
credesse	/kredˈesse/
credessi	/kredˈessi/
credete	/kredˈete/
credette	/kredˈɛtte/
credettero	/kredˈɛttero/
credetti	/kredˈɛtti/
credeva	/kredˈeva/
credevano	/kredˈevano/
credevi	/kredˈevi/
crediamo	/kredjˈamo/
crediate	/kredjˈate/
credibile	/kredˈibile/
credi	/krˈedi/
credo	/krˈɛdo/
credono	/krˈedono/
credute	/kredˈute/
creduto	/kredˈuto/
cresce	/krˈeʃʃe/
crescendo	/kreʃʃˈɛndo/
crescente	/kreʃʃˈɛnte/
crescere	/krˈeʃʃere/
crescete	/kreʃʃˈete/
cresciuta	/kreʃʃˈuta/
cresciuti	/kreʃʃˈuti/
cresciuto	/kreʃʃˈuto/
crescono	/krˈeskono/
creta	/krˈeta/
cretese	/kretˈese/
cretesi	/kretˈesi/
crini	/krˈini/
cristallo	/kristˈallo/
cristiana	/kristjˈana/
cristianesimo	/kristjanˈezimo/
cristiani	/kristjˈani/
cristiano	/kristjˈano/
cristo	/krˈisto/
critica	/krˈitika/
crivello	/krivˈɛllo/
croce	/krˈotʃe/
cromi	/krˈɔmi/
crucciati	/krutʃtʃˈati/
crucciato	/krutʃtʃˈato/
cruccio	/krˈutʃtʃo/
cruda	/krˈuda/
crudele	/krudˈɛle/
crudeli	/krudˈɛli/
crudelissimo	/krudelˈissimo/
crudelmente	/krudelmˈente/
crudeltà	/krudeltˈa/
crudo	/krˈudo/
cucina	/kutʃˈina/
cui	/ˈkui/
culla	/ˈkulla/
culto	/ˈkulto/
culturale	/kulturˈale/
cuoco	/kwˈɔko/
cuoio	/kwˈɔjo/
cuore	/kwˈɔre/
cuori	/kwˈɔri/
cupido	/ˈkupido/
cura	/ˈkura/
curano	/ˈkurano/
curare	/kurˈare/
curato	/kurˈato/
curava	/kurˈava/
cure	/ˈkure/
curiosità	/kurjositˈa/
curo	/ˈkuro/
curò	/kurˈɔ/
curva	/ˈkurva/
custode	/kustˈɔde/
custodia	/kustˈɔdja/
d'achille	/dakˈille/
da	/ˈda/
dà	/ˈda/
dagli	/ˈdaʎʎi/
dai	/ˈdai/
dal	/ˈdal/
dalla	/ˈdalla/
dalle	/ˈdalle/
dalli	/ˈdalli/
dallo	/ˈdallo/
damigella	/damidʒˈɛlla/
damigelle	/damidʒˈɛlle/
d'amore	/damˈore/
danari	/danˈari/
dando	/ˈdando/
dannata	/dannˈata/
dannati	/dannˈati/
danni	/ˈdanni/
danno	/ˈdanno/
dannosa	/dannˈosa/
dannosi	/dannˈosi/
dannoso	/dannˈoso/
dante	/ˈdante/
danza	/ˈdantsa/
dardano	/dardˈano/
dardi	/ˈdardi/
dardo	/ˈdardo/
darebbe	/darˈɛbbe/
dare	/ˈdare/
dargli	/ˈdarʎi/
dario	/ˈdarjo/
darti	/ˈdarti/
dassi	/ˈdassi/
data	/ˈdata/
date	/ˈdate/
dati	/ˈdati/
dato	/ˈdato/
dattorno	/dattˈorno/
dava	/ˈdava/
davano	/ˈdavano/
davanti	/davˈanti/
davvero	/davvˈero/
dea	/ˈdɛa/
debba	/ˈdɛbba/
debbano	/ˈdɛbbano/
debbia	/ˈdɛbbja/
debbi	/ˈdɛbbi/
debbo	/ˈdɛbbo/
debbono	/ˈdɛbbono/
debile	/ˈdɛbile/
debita	/ˈdebita/
debitamente	/debitamˈente/
debite	/ˈdebite/
debito	/ˈdebito/
debole	/ˈdebole/
debolezza	/debolˈetstsa/
deboli	/ˈdeboli/
decima	/ˈdɛtʃima/
decimo	/ˈdɛtʃimo/
decisa	/detʃˈiza/
declinare	/deklinˈare/
decreto	/dekrˈeto/
dedalo	/ˈdɛdalo/
de	/ˈde/
de'	/ˈde/
dedicata	/dedikˈata/
dedicato	/dedikˈato/
dee	/ˈdɛe/
deggia	/ˈdɛdʒdʒa/
degli	/ˈdeʎʎi/
degna	/ˈdeɲɲa/
degnamente	/deɲɲamˈente/
degne	/ˈdeɲɲe/
degni	/ˈdeɲɲi/
degno	/ˈdeɲɲo/
deh	/ˈdɛ/
dei	/ˈdɛi/
deità	/deitˈa/
del	/ˈdel/
d'elettrione	/delettrjˈone/
delfino	/delfˈino/
delfo	/ˈdɛlfo/
deliberato	/deliberˈato/
della	/ˈdella/
delle	/ˈdelle/
dello	/ˈdello/
demoni	/ˈdɛmoni/
denari	/denˈari/
dente	/ˈdɛnte/
denti	/ˈdɛnti/
dentro	/ˈdentro/
deono	/ˈdɛono/
deriva	/derˈiva/
descritta	/deskrˈitta/
descritto	/deskrˈitto/
descrive	/deskrˈive/
descrivendo	/deskrivˈɛndo/
descrivere	/deskrˈivere/
desiderando	/desiderˈando/
desiderano	/desˈiderano/
desiderare	/desiderˈare/
desiderato	/desiderˈato/
desiderava	/desiderˈava/
desideri	/desidˈɛri/
desiderio	/desidˈɛrjo/
desideroso	/desiderˈoso/
designare	/desiɲɲˈare/
desinare	/dezinˈare/
desinato	/dezinˈato/
desio	/dezˈio/
desse	/ˈdesse/
dessero	/ˈdessero/
destare	/destˈare/
destati	/destˈati/
desti	/ˈdesti/
destino	/destˈino/
desto	/ˈdesto/
destò	/destˈɔ/
destra	/ˈdɛstra/
destre	/ˈdɛstre/
destriere	/destrjˈɛre/
destro	/ˈdɛstro/
determinata	/determinˈata/
determinato	/determinˈato/
detta	/ˈdetta/
dette	/ˈdette/
detti	/ˈdetti/
detto	/ˈdetto/
deve	/ˈdɛve/
deversi	/devˈɛrsi/
devo	/ˈdɛvo/
dia	/ˈdia/
dialettica	/dialˈɛttika/
dialogo	/diˈaloɡo/
diana	/djˈana/
diano	/ˈdiano/
dianzi	/djˈantsi/
diate	/djˈate/
diavolo	/djˈavolo/
dica	/ˈdika/
dicano	/ˈdikano/
dice	/ˈditʃe/
dicembre	/ditʃˈɛmbre/
dicemmo	/ditʃˈemmo/
dicendo	/ditʃˈɛndo/
dicesse	/ditʃˈesse/
dicessero	/ditʃˈessero/
dicessi	/ditʃˈessi/
diceste	/ditʃˈeste/
dicesti	/ditʃˈesti/
diceva	/ditʃˈeva/
dicevano	/ditʃˈevano/
dicevi	/ditʃˈevi/
dichiarare	/dikjarˈare/
dichiarata	/dikjarˈata/
dichiarate	/dikjarˈate/
dichiarato	/dikjarˈato/
dichiarazione	/dikjaratstsjˈone/
dichi	/ˈdiki/
diciamo	/ditʃˈamo/
diciate	/ditʃˈate/
dici	/ˈditʃi/
dico	/ˈdiko/
dicono	/ˈdikono/
di	/ˈdi/
dì	/ˈdi/
diece	/djˈɛtʃe/
dieci	/djˈɛtʃi/
diede	/djˈɛde/
diedero	/djˈɛdero/
die	/ˈdie/
dietro	/djˈɛtro/
difendere	/difˈɛndere/
difenditore	/difenditˈore/
difesa	/difˈesa/
difese	/difˈese/
difeso	/difˈeso/
difetti	/difˈɛtti/
difetto	/difˈɛtto/
differente	/differˈɛnte/
differenti	/differˈɛnti/
differenza	/differˈɛntsa/
differenze	/differˈɛntse/
difficile	/diffˈitʃile/
difficoltà	/diffikoltˈa/
difficultà	/diffikultˈa/
diffusamente	/diffuzamˈente/
diffusione	/diffuzjˈone/
digiunare	/didʒunˈare/
digiuni	/didʒˈuni/
digiuno	/didʒˈuno/
dignità	/diɲɲitˈa/
diletta	/dilˈɛtta/
dilettano	/dilˈɛttano/
dilettare	/dilettˈare/
dilettato	/dilettˈato/
dilettava	/dilettˈava/
dilettevole	/dilettˈevole/
dilettevoli	/dilettˈevoli/
diletti	/dilˈɛtti/
diletto	/dilˈɛtto/
diliberato	/diliberˈato/
diligente	/dilidʒˈɛnte/
diligentemente	/dilidʒentemˈente/
dilungatosi	/diluŋɡatˈozi/
diluvio	/dilˈuvjo/
dimenticando	/dimentikˈando/
dimenticare	/dimentikˈare/
dimenticata	/dimentikˈata/
dimenticato	/dimentikˈato/
dimentichi	/dimˈentiki/
dimestichezza	/dimestikˈetstsa/
dimora	/dimˈɔra/
dimorando	/dimorˈando/
dimorano	/dimˈɔrano/
dimorante	/dimorˈante/
dimorare	/dimorˈare/
dimorarono	/dimorˈarono/
dimorasse	/dimorˈasse/
dimorata	/dimorˈata/
dimorate	/dimorˈate/
dimorati	/dimorˈati/
dimorato	/dimorˈato/
dimorava	/dimorˈava/
dimoravano	/dimorˈavano/
dimorerò	/dimorerˈɔ/
dimoriamo	/dimorjˈamo/
dimori	/dimˈɔri/
dimoro	/dimˈɔro/
dimorò	/dimorˈɔ/
dimostra	/dimˈostra/
dimostrando	/dimostrˈando/
dimostrano	/dimˈostrano/
dimostrare	/dimostrˈare/
dimostrasse	/dimostrˈasse/
dimostrata	/dimostrˈata/
dimostrato	/dimostrˈato/
dimostrava	/dimostrˈava/
dimostrazione	/dimostratstsjˈone/
dimostrerà	/dimostrerˈa/
dimostri	/dimˈostri/
dimostrò	/dimostrˈɔ/
dinanzi	/dinˈantsi/
dintorno	/dintˈorno/
dio	/ˈdio/
dionigi	/djonˈidʒi/
dionisio	/djonˈizjo/
dipignere	/dipˈiɲɲere/
dipinta	/dipˈinta/
dipinto	/dipˈinto/
dipintore	/dipintˈore/
dipinture	/dipintˈure/
diporto	/dipˈɔrto/
dirà	/dirˈa/
dirai	/dirˈai/
diranno	/dirˈanno/
dirce	/ˈdirtʃe/
direbbe	/dirˈɛbbe/
dire	/ˈdire/
direi	/dirˈɛi/
diremo	/dirˈemo/
diretta	/dirˈɛtta/
dirimpetto	/dirimpˈɛtto/
diritta	/dirˈitta/
dirittamente	/dirittamˈente/
diritti	/dirˈitti/
diritto	/dirˈitto/
dirizzare	/diritstsˈare/
dirizzata	/diritstsˈata/
dirizzò	/diritstsˈɔ/
dirò	/dirˈɔ/
disagio	/dizˈadʒo/
disarmato	/dizarmˈato/
disavventura	/dizavventˈura/
discende	/diʃʃˈende/
discendendo	/diʃʃendˈɛndo/
discendenti	/diʃʃendˈɛnti/
discendenza	/diʃʃendˈɛntsa/
discendere	/diʃʃˈendere/
discepoli	/diʃʃˈepoli/
discepolo	/diʃʃˈepolo/
discesa	/diʃʃˈesa/
discese	/diʃʃˈese/
discesi	/diʃʃˈesi/
disceso	/diʃʃˈeso/
disciplina	/diʃʃiplˈina/
discorda	/diskˈɔrda/
discordano	/diskˈɔrdano/
